,match_id,barracks_status_dire,barracks_status_radiant,duration,first_blood_time,game_mode,match_seq_num,radiant_win,tower_status_dire,tower_status_radiant,patch,radiant_kills,dire_kills,total_radiant_gold_adv,total_radiant_xp_adv,averageRank,Radiant_Position1_hero,Radiant_Position_1id,Radiant_Position2_hero,Radiant_Position_2id,Radiant_Position3_hero,Radiant_Position_3id,Radiant_Position4_hero,Radiant_Position_4id,Radiant_Position5_hero,Radiant_Position_5id,Dire_Position1_hero,Dire_Position_1id,Dire_Position2_hero,Dire_Position_2id,Dire_Position3_hero,Dire_Position_3id,Dire_Position4_hero,Dire_Position_4id,Dire_Position5_hero,Dire_Position_5id,series_id,version
0,7794507109,63,0,1911,43,22,6561505949,0,2038,0,55,17,41,0.0,0.0,71,136,375831470.0,12,,20,860036900.0,104,,47,85911192.0,19,156190425.0,11,904778448.0,64,104614009.0,29,162834266.0,106,1071342507.0,,
1,7794507817,0,63,1729,141,22,6561503875,1,0,2047,55,38,17,0.0,0.0,74,101,835572505.0,20,1041974637.0,110,114072099.0,55,152109963.0,54,1247282847.0,56,,123,885729890.0,87,75683785.0,25,1297793529.0,2,88558393.0,0.0,
2,7794509004,63,16,1690,98,22,6561505090,0,2038,0,55,15,45,0.0,0.0,81,69,148733207.0,39,244202477.0,121,168625044.0,49,176672292.0,44,215103358.0,73,,20,,119,152489595.0,15,210480286.0,104,421383646.0,0.0,21.0
3,7794510818,55,63,1951,0,22,6561509603,1,260,1974,55,41,34,0.0,0.0,81,14,42969660.0,22,192650213.0,52,854633392.0,54,1593725755.0,69,192831366.0,28,403754005.0,70,298777178.0,20,205077576.0,11,,112,,0.0,
4,7794511718,63,0,2234,73,22,6561513581,0,1974,0,55,21,32,0.0,0.0,75,112,1195780028.0,69,,123,316614345.0,12,,59,112728668.0,76,1135861604.0,73,234275171.0,86,174277970.0,55,140925029.0,93,371411128.0,,
5,7794516003,51,63,2151,106,22,6561516628,1,260,2047,55,61,20,0.0,0.0,72,114,,71,180837990.0,13,851539738.0,121,465577136.0,44,165945304.0,14,1254585085.0,27,135126521.0,11,316248670.0,10,328328984.0,84,,,
6,7794522803,3,63,1559,6,3,6561515071,1,4,1975,55,33,21,0.0,0.0,81,14,173397049.0,92,299587811.0,19,192176314.0,110,1226741231.0,106,411511662.0,56,,104,131875099.0,88,462523551.0,46,,30,359552016.0,,
7,7794525309,63,0,1511,110,22,6561515495,0,2047,0,55,11,38,0.0,0.0,71,22,110017694.0,17,193738170.0,23,130106872.0,5,87520009.0,8,,11,76392648.0,2,101540152.0,123,129655153.0,87,147108899.0,54,145504993.0,,
9,7794509006,0,63,2851,68,22,6561519046,1,0,1846,55,37,36,0.0,0.0,71,104,1121880585.0,100,,12,990132990.0,11,852007446.0,26,1313082958.0,129,1024454039.0,123,,110,942472646.0,5,1140427424.0,48,300712427.0,,
10,7794510209,61,0,2950,17,22,6561522709,0,1824,0,55,49,38,0.0,0.0,72,54,282712720.0,119,171729003.0,28,,83,101467991.0,126,,63,244327029.0,104,211722387.0,12,1083373723.0,21,120972498.0,87,1295731994.0,,
14,7794520318,63,0,2235,89,22,6561520568,0,2038,0,55,35,52,0.0,0.0,72,3,294155887.0,76,1006206109.0,54,66618671.0,105,342999939.0,2,144139039.0,136,267310520.0,63,,123,380550996.0,11,,104,399708448.0,,
17,7794534502,63,0,1245,0,22,6561520822,0,2047,0,55,13,31,0.0,0.0,81,75,,7,872004837.0,1,153114896.0,47,405543795.0,49,166840081.0,11,1237755820.0,55,85870495.0,96,340786628.0,100,65048585.0,88,,,
18,7794540517,51,63,939,0,22,6561522317,1,260,2047,55,26,4,0.0,0.0,81,7,91362933.0,38,,31,193377814.0,21,871492837.0,95,284258104.0,19,365385387.0,83,180378296.0,11,199538916.0,49,,41,368714653.0,,
19,7794533802,51,63,2039,2,22,6561529102,1,260,1974,55,44,25,0.0,0.0,71,123,134402641.0,38,164442853.0,126,144569195.0,8,214542798.0,51,,20,145177340.0,39,141540469.0,30,852105006.0,10,178030268.0,129,137335912.0,,
21,7794537311,63,0,1911,52,22,6561530241,0,1972,0,55,28,46,0.0,0.0,72,10,,128,302341336.0,75,968548760.0,11,1010403750.0,28,1256089928.0,2,3819722.0,110,109104463.0,31,1058900129.0,95,401003333.0,86,175721523.0,,
23,7794541603,63,0,2166,0,22,6561536320,0,2038,0,55,17,52,0.0,0.0,75,40,205671804.0,107,241414535.0,74,,86,,44,143067868.0,63,108204607.0,33,110856185.0,26,174285703.0,49,108554548.0,30,76843811.0,0.0,
24,7794541814,0,63,1745,89,22,6561533804,1,0,1982,55,55,10,0.0,0.0,72,102,326174926.0,110,374332353.0,123,81285686.0,54,220549329.0,129,1050959056.0,61,76358225.0,8,1110645791.0,22,218372755.0,85,,40,,,
25,7794545711,63,51,1569,0,22,6561534469,0,1982,256,55,14,37,0.0,0.0,81,20,912382947.0,11,1674713765.0,114,322394583.0,105,154057139.0,120,294337381.0,83,,60,457055550.0,12,479496815.0,26,437548902.0,106,,,
26,7794557204,63,48,1233,89,22,6561538915,0,2047,256,55,7,31,0.0,0.0,75,6,177218502.0,35,,16,1057327725.0,32,895208859.0,106,422782288.0,55,53575999.0,12,,88,97023433.0,30,239866407.0,36,86847768.0,,
37,7794548607,0,63,2484,0,3,6561545118,1,0,1975,55,54,33,0.0,0.0,81,97,,35,140790174.0,88,184432279.0,81,,123,134186244.0,74,370370527.0,44,381637185.0,11,1135861604.0,104,371411128.0,86,174277970.0,,
39,7794563503,63,0,1359,0,22,6561545461,0,1983,0,55,10,31,0.0,0.0,75,108,77415789.0,91,899273569.0,17,,12,327048145.0,14,281015790.0,11,1195902839.0,20,146642343.0,26,143160754.0,54,110455350.0,27,,,
44,7794565811,15,63,1968,0,22,6561553896,1,52,1972,55,58,30,0.0,0.0,71,17,374750304.0,120,86862668.0,5,852105006.0,2,164442853.0,6,214542798.0,110,1006453215.0,95,,88,144569195.0,59,,30,268387264.0,,
